Frame,Algorithm,Distance,Mean,StdDev
2,NDT+ICP,0.0129276,0.0129276,0
3,NDT+ICP,0.0211081,0.0170179,0.00409028
4,NDT+ICP,0.0179575,0.0173311,0.00336894
5,NDT+ICP,0.0185802,0.0176434,0.0029673
6,NDT+ICP,0.0176235,0.0176394,0.00265405
7,NDT+ICP,0.0194607,0.0179429,0.00251609
8,NDT+ICP,0.0139373,0.0173707,0.00271865
9,NDT+ICP,0.0225858,0.0180226,0.00307275
10,NDT+ICP,0.0192112,0.0181547,0.002921
11,NDT+ICP,0.017065,0.0180457,0.00279032
12,NDT+ICP,0.0194502,0.0181734,0.00269093
13,NDT+ICP,0.0164793,0.0180322,0.00261857
14,NDT+ICP,0.0172413,0.0179714,0.00252465
15,NDT+ICP,0.0158334,0.0178186,0.00249435
16,NDT+ICP,0.0185383,0.0178666,0.00241645
17,NDT+ICP,0.0161077,0.0177567,0.00237814
18,NDT+ICP,0.0154906,0.0176234,0.00236794
19,NDT+ICP,0.018837,0.0176908,0.00231796
20,NDT+ICP,0.0170609,0.0176577,0.00226052
21,NDT+ICP,0.0170634,0.0176279,0.00220708
22,NDT+ICP,0.0189823,0.0176924,0.00217312
23,NDT+ICP,0.0188439,0.0177448,0.00213666
24,NDT+ICP,0.0162046,0.0176778,0.00211317
25,NDT+ICP,0.016567,0.0176315,0.00208055
26,NDT+ICP,0.0173076,0.0176186,0.0020395
27,NDT+ICP,0.015041,0.0175194,0.00206041
28,NDT+ICP,0.0192642,0.0175841,0.00204857
29,NDT+ICP,0.0156293,0.0175142,0.0020441
30,NDT+ICP,0.0153256,0.0174388,0.00204786
31,NDT+ICP,0.015809,0.0173844,0.00203458
32,NDT+ICP,0.0180152,0.0174048,0.0020046
33,NDT+ICP,0.0164819,0.017376,0.00197955
34,NDT+ICP,0.0161573,0.017339,0.00196049
35,NDT+ICP,0.0173893,0.0173405,0.00193146
36,NDT+ICP,0.0168841,0.0173275,0.00190519
37,NDT+ICP,0.0210792,0.0174317,0.00197713
38,NDT+ICP,0.0157482,0.0173862,0.00196924
39,NDT+ICP,0.0216027,0.0174971,0.00205704
40,NDT+ICP,0.0120115,0.0173565,0.00220788
41,NDT+ICP,0.0153103,0.0173053,0.00220339
42,NDT+ICP,0.0183802,0.0173315,0.00218266
43,NDT+ICP,0.0156753,0.0172921,0.00217125
44,NDT+ICP,0.0148185,0.0172346,0.002178
45,NDT+ICP,0.0176871,0.0172449,0.00215416
46,NDT+ICP,0.0145409,0.0171848,0.00216706
47,NDT+ICP,0.0149429,0.017136,0.00216817
48,NDT+ICP,0.0144642,0.0170792,0.00217935
49,NDT+ICP,0.0147336,0.0170303,0.0021824
50,NDT+ICP,0.0187141,0.0170647,0.0021731
51,NDT+ICP,0.0155624,0.0170346,0.00216151
52,NDT+ICP,0.0153401,0.0170014,0.00215307
53,NDT+ICP,0.018395,0.0170282,0.00214084
54,NDT+ICP,0.0150202,0.0169903,0.00213808
55,NDT+ICP,0.0151102,0.0169555,0.0021333
56,NDT+ICP,0.014829,0.0169169,0.00213283
57,NDT+ICP,0.0192727,0.0169589,0.0021366
58,NDT+ICP,0.0147121,0.0169195,0.00213822
59,NDT+ICP,0.0159965,0.0169036,0.00212311
60,NDT+ICP,0.0240232,0.0170243,0.0022969
61,NDT+ICP,0.0176159,0.0170341,0.00227894
62,NDT+ICP,0.0157188,0.0170126,0.00226634
63,NDT+ICP,0.0165304,0.0170048,0.00224881
64,NDT+ICP,0.0145271,0.0169655,0.00225228
65,NDT+ICP,0.0176332,0.0169759,0.00223615
66,NDT+ICP,0.0145777,0.016939,0.00223843
67,NDT+ICP,0.0145607,0.016903,0.00224033
68,NDT+ICP,0.015023,0.0168749,0.0022352
69,NDT+ICP,0.0186033,0.0169003,0.00222844
70,NDT+ICP,0.0158442,0.016885,0.00221583
71,NDT+ICP,0.015038,0.0168586,0.00221083
72,NDT+ICP,0.0166486,0.0168557,0.00219535
73,NDT+ICP,0.01777,0.0168684,0.00218267
74,NDT+ICP,0.016204,0.0168593,0.00216905
75,NDT+ICP,0.0143141,0.0168249,0.00217429
76,NDT+ICP,0.0153461,0.0168052,0.0021664
77,NDT+ICP,0.0145264,0.0167752,0.00216771
78,NDT+ICP,0.016907,0.0167769,0.00215364
79,NDT+ICP,0.0145223,0.016748,0.00215477
80,NDT+ICP,0.0153087,0.0167298,0.00214712
81,NDT+ICP,0.0145184,0.0167021,0.00214776
82,NDT+ICP,0.017261,0.016709,0.00213535
83,NDT+ICP,0.0147568,0.0166852,0.00213308
84,NDT+ICP,0.0140344,0.0166533,0.00213983
85,NDT+ICP,0.0150091,0.0166337,0.00213451
86,NDT+ICP,0.0170563,0.0166387,0.00212241
87,NDT+ICP,0.0146,0.016615,0.00212132
88,NDT+ICP,0.0148229,0.0165944,0.00211773
89,NDT+ICP,0.0163964,0.0165921,0.00210577
90,NDT+ICP,0.0142047,0.0165653,0.00210897
91,NDT+ICP,0.0144914,0.0165422,0.00210846
92,NDT+ICP,0.0141522,0.016516,0.00211159
93,NDT+ICP,0.0181652,0.0165339,0.00210704
94,NDT+ICP,0.0128295,0.0164941,0.00213022
95,NDT+ICP,0.0184484,0.0165149,0.00212832
96,NDT+ICP,0.0142545,0.0164911,0.00212962
97,NDT+ICP,0.0173763,0.0165003,0.00212041
98,NDT+ICP,0.0141733,0.0164763,0.0021225
99,NDT+ICP,0.017206,0.0164838,0.00211292
100,NDT+ICP,0.0183048,0.0165021,0.00211009
101,NDT+ICP,0.0168958,0.0165061,0.00209988
102,NDT+ICP,0.0139712,0.016481,0.00210448
103,NDT+ICP,0.0143271,0.0164599,0.00210486
104,NDT+ICP,0.0138817,0.0164348,0.00210982
105,NDT+ICP,0.016929,0.0164396,0.00210021
106,NDT+ICP,0.0139953,0.0164163,0.00210362
107,NDT+ICP,0.0167816,0.0164198,0.00209397
108,NDT+ICP,0.0169099,0.0164243,0.0020847
109,NDT+ICP,0.0136332,0.0163985,0.00209217
110,NDT+ICP,0.0177099,0.0164105,0.0020863
111,NDT+ICP,0.0189365,0.0164335,0.00209059
