Frame,Algorithm,Distance,Mean,StdDev
135,ICP,0.0129516,0.016241,0.00227021
136,ICP,0.0119788,0.0162094,0.00229112
137,ICP,0.0145949,0.0161975,0.00228684
138,ICP,0.0119246,0.0161663,0.00230733
139,ICP,0.0128836,0.0161425,0.00231575
140,ICP,0.0114347,0.0161087,0.00234146
141,ICP,0.011876,0.0160784,0.00236016
142,ICP,0.0135999,0.0160609,0.00236095
143,ICP,0.0118575,0.0160313,0.00237873
144,ICP,0.0139824,0.0160169,0.00237654
145,ICP,0.0112075,0.0159835,0.00240172
146,ICP,0.0118117,0.0159548,0.0024182
147,ICP,0.0109508,0.0159205,0.00244498
148,ICP,0.0112712,0.0158889,0.00246644
149,ICP,0.0122565,0.0158643,0.00247604
150,ICP,0.0112693,0.0158335,0.00249607
151,ICP,0.0113239,0.0158034,0.00251466
152,ICP,0.0138166,0.0157903,0.0025115
153,ICP,0.0103625,0.0157546,0.00254139
154,ICP,0.0110275,0.0157237,0.00256155
155,ICP,0.013811,0.0157112,0.00255784
156,ICP,0.0126516,0.0156915,0.00256131
157,ICP,0.0302646,0.0157849,0.00280552
158,ICP,0.0110823,0.015755,0.00282148
159,ICP,0.014599,0.0157476,0.00281403
160,ICP,0.0124619,0.015727,0.00281717
161,ICP,0.0107876,0.0156961,0.0028352
162,ICP,0.010426,0.0156634,0.00285655
163,ICP,0.010925,0.0156341,0.0028718
164,ICP,0.0135306,0.0156212,0.00286769
165,ICP,0.0103624,0.0155892,0.00288809
166,ICP,0.0102325,0.0155567,0.00290919
167,ICP,0.0102133,0.0155245,0.00292974
168,ICP,0.0123546,0.0155055,0.00293117
169,ICP,0.0124179,0.0154871,0.00293207
170,ICP,0.0099656,0.0154545,0.0029539
171,ICP,0.0132361,0.0154414,0.00295008
172,ICP,0.0110684,0.0154159,0.00296028
173,ICP,0.0112868,0.0153918,0.0029683
174,ICP,0.0109203,0.015366,0.00297906
175,ICP,0.0139591,0.0153579,0.00297239
176,ICP,0.0114778,0.0153357,0.00297828
177,ICP,0.0113747,0.0153132,0.0029847
178,ICP,0.00997063,0.015283,0.00300307
179,ICP,0.0108252,0.015258,0.0030131
180,ICP,0.0121053,0.0152404,0.00301385
181,ICP,0.0096437,0.0152093,0.00303412
182,ICP,0.046623,0.0153829,0.00381797
183,ICP,0.0151816,0.0153817,0.0038075
184,ICP,0.0103201,0.0153541,0.00381537
185,ICP,0.0128461,0.0153405,0.00380946
186,ICP,0.0112781,0.0153185,0.00381081
187,ICP,0.015015,0.0153169,0.00380061
188,ICP,0.010737,0.0152924,0.00380513
189,ICP,0.0115562,0.0152725,0.00380471
190,ICP,0.0129364,0.0152601,0.00379841
191,ICP,0.0140697,0.0152539,0.00378938
192,ICP,0.0113736,0.0152336,0.00378981
193,ICP,0.0125823,0.0152198,0.00378474
194,ICP,0.0146398,0.0152168,0.00377516
195,ICP,0.0150098,0.0152157,0.00376544
196,ICP,0.0128859,0.0152037,0.00375946
197,ICP,0.0162027,0.0152088,0.00375053
198,ICP,0.0124617,0.0151949,0.00374609
199,ICP,0.0133617,0.0151856,0.00373888
200,ICP,0.0126766,0.015173,0.00373369
201,ICP,0.0147235,0.0151708,0.00372448
202,ICP,0.0129576,0.0151598,0.00371846
203,ICP,0.0230941,0.015199,0.00375082
204,ICP,0.0227405,0.0152362,0.00377864
205,ICP,0.0141189,0.0152307,0.00377018
206,ICP,0.0144613,0.015227,0.00376135
207,ICP,0.0163039,0.0152322,0.00375296
208,ICP,0.0124092,0.0152186,0.00374899
209,ICP,0.0129096,0.0152075,0.00374338
210,ICP,0.0298653,0.0152776,0.00386897
211,ICP,0.0200184,0.0153002,0.00387352
212,ICP,0.0158852,0.0153029,0.00386454
213,ICP,0.0199452,0.0153248,0.00386851
214,ICP,0.0125228,0.0153117,0.00386417
215,ICP,0.79551,0.0189575,0.053348
216,ICP,0.0887864,0.0192822,0.0534354
217,ICP,0.0288073,0.0193263,0.0533155
218,ICP,0.286105,0.0205557,0.0561775
219,ICP,0.132858,0.0210709,0.0565598
220,ICP,0.0360419,0.0211392,0.0564396
221,ICP,0.0389895,0.0212204,0.056324
222,ICP,0.378323,0.0228362,0.0610938
223,ICP,0.106957,0.0232152,0.0612158
