Frame,Algorithm,Distance,Mean,StdDev
2,NDT,0.0305534,0.0305534,0
3,NDT,0.0278175,0.0291854,0.00136797
4,NDT,0.0383037,0.0322249,0.00444116
5,NDT,0.0362883,0.0332407,0.00422952
6,NDT,0.0378498,0.0341625,0.00420833
7,NDT,0.0319222,0.0337891,0.00393135
8,NDT,0.0393428,0.0345825,0.00412605
9,NDT,0.0318858,0.0342454,0.00396127
10,NDT,0.0346012,0.034285,0.0037364
11,NDT,0.0359646,0.0344529,0.00358029
12,NDT,0.031047,0.0341433,0.00355132
13,NDT,0.0345755,0.0341793,0.00340223
14,NDT,0.0331393,0.0340993,0.00328048
15,NDT,0.0333771,0.0340477,0.00316662
16,NDT,0.0296994,0.0337578,0.00324584
17,NDT,0.0335093,0.0337423,0.00314335
18,NDT,0.029102,0.0334693,0.00323906
19,NDT,0.0282816,0.0331811,0.00336464
20,NDT,0.033242,0.0331843,0.00327492
21,NDT,0.032326,0.0331414,0.00319748
22,NDT,0.0352496,0.0332418,0.00315255
23,NDT,0.0279392,0.0330008,0.00327213
24,NDT,0.0336194,0.0330277,0.00320269
25,NDT,0.0305673,0.0329252,0.00317357
26,NDT,0.0327227,0.0329171,0.00310971
27,NDT,0.032637,0.0329063,0.00304979
28,NDT,0.0279904,0.0327242,0.00313347
29,NDT,0.0316381,0.0326854,0.0030836
30,NDT,0.033512,0.0327139,0.00303372
31,NDT,0.0293762,0.0326027,0.00304231
32,NDT,0.0296212,0.0325065,0.00303884
33,NDT,0.0293404,0.0324076,0.00304129
34,NDT,0.035404,0.0324984,0.00303859
35,NDT,0.0365915,0.0326187,0.00307241
36,NDT,0.0266042,0.0324469,0.00318968
37,NDT,0.0329328,0.0324604,0.00314608
38,NDT,0.0359876,0.0325557,0.00315554
39,NDT,0.033076,0.0325694,0.00311486
40,NDT,0.032523,0.0325682,0.00307467
41,NDT,0.0310783,0.032531,0.0030449
42,NDT,0.0302984,0.0324765,0.00302719
43,NDT,0.0336936,0.0325055,0.00299668
44,NDT,0.03352,0.0325291,0.00296558
45,NDT,0.0301825,0.0324758,0.00295247
46,NDT,0.0363131,0.032561,0.00297377
47,NDT,0.0333801,0.0325788,0.00294369
48,NDT,0.0316649,0.0325594,0.00291519
49,NDT,0.0345036,0.0325999,0.002898
50,NDT,0.0284878,0.032516,0.00292661
51,NDT,0.028838,0.0324424,0.0029426
52,NDT,0.0293079,0.032381,0.00294584
