Frame,Algorithm,Distance,Mean,StdDev
2,Currentt to Last,0.0146395,0.0146395,0
3,Currentt to Last,0.026112,0.0203757,0.00573626
4,Currentt to Last,0.0190935,0.0199483,0.00472248
5,Currentt to Last,0.0199901,0.0199588,0.00408983
6,Currentt to Last,0.0188216,0.0197313,0.00368623
7,Currentt to Last,0.0228305,0.0202479,0.00355775
8,Currentt to Last,0.0142815,0.0193955,0.00389977
9,Currentt to Last,0.0313679,0.0208921,0.00538376
10,Currentt to Last,0.0210823,0.0209132,0.00507621
11,Currentt to Last,0.0184446,0.0206663,0.00487233
12,Currentt to Last,0.0237673,0.0209482,0.00473034
13,Currentt to Last,0.0180665,0.0207081,0.00459846
14,Currentt to Last,0.0189669,0.0205742,0.00444236
15,Currentt to Last,0.016706,0.0202979,0.00439515
16,Currentt to Last,0.0230674,0.0204825,0.00430195
17,Currentt to Last,0.0176491,0.0203054,0.00422144
18,Currentt to Last,0.0163473,0.0200726,0.00419995
19,Currentt to Last,0.0233443,0.0202543,0.00414985
20,Currentt to Last,0.0182967,0.0201513,0.00406275
21,Currentt to Last,0.0182154,0.0200545,0.00398229
22,Currentt to Last,0.0194845,0.0200274,0.00388821
23,Currentt to Last,0.0231125,0.0201676,0.00385279
24,Currentt to Last,0.017891,0.0200686,0.0037966
25,Currentt to Last,0.0178516,0.0199763,0.00374297
26,Currentt to Last,0.0195832,0.0199605,0.00366816
27,Currentt to Last,0.0165175,0.0198281,0.00365736
28,Currentt to Last,0.0249918,0.0200194,0.00371911
29,Currentt to Last,0.0173176,0.0199229,0.00368635
30,Currentt to Last,0.0166737,0.0198108,0.00367043
31,Currentt to Last,0.0174701,0.0197328,0.00363312
32,Currentt to Last,0.0226934,0.0198283,0.00361212
33,Currentt to Last,0.0177507,0.0197634,0.00357356
34,Currentt to Last,0.0174303,0.0196927,0.00354165
35,Currentt to Last,0.0182411,0.01965,0.00349779
36,Currentt to Last,0.0207414,0.0196812,0.00345225
37,Currentt to Last,0.0206125,0.019707,0.0034074
38,Currentt to Last,0.01699,0.0196336,0.0033898
39,Currentt to Last,0.0245908,0.0197641,0.00343773
40,Currentt to Last,0.012473,0.0195771,0.00358373
41,Currentt to Last,0.0159891,0.0194874,0.00358271
42,Currentt to Last,0.0225205,0.0195614,0.00356955
43,Currentt to Last,0.0170964,0.0195027,0.00354676
44,Currentt to Last,0.0162907,0.019428,0.00353855
45,Currentt to Last,0.0219563,0.0194855,0.00351834
46,Currentt to Last,0.0158029,0.0194036,0.00352112
47,Currentt to Last,0.0162754,0.0193356,0.00351239
48,Currentt to Last,0.0158631,0.0192617,0.00351077
49,Currentt to Last,0.0165001,0.0192042,0.00349633
50,Currentt to Last,0.0242447,0.0193071,0.00353309
51,Currentt to Last,0.0176057,0.019273,0.00350569
52,Currentt to Last,0.0168832,0.0192262,0.00348693
53,Currentt to Last,0.0249271,0.0193358,0.00354088
54,Currentt to Last,0.0165009,0.0192823,0.00352846
55,Currentt to Last,0.016444,0.0192298,0.00351652
56,Currentt to Last,0.0162487,0.0191756,0.0035071
57,Currentt to Last,0.0253269,0.0192854,0.00356983
58,Currentt to Last,0.0161829,0.019231,0.00356175
59,Currentt to Last,0.0177113,0.0192048,0.00353645
60,Currentt to Last,0.0221748,0.0192551,0.00352724
61,Currentt to Last,0.0239388,0.0193332,0.00354875
62,Currentt to Last,0.0176944,0.0193063,0.00352569
63,Currentt to Last,0.0181924,0.0192883,0.00349995
64,Currentt to Last,0.0157427,0.0192321,0.00350023
65,Currentt to Last,0.0242977,0.0193112,0.00352914
66,Currentt to Last,0.0161523,0.0192626,0.00352341
67,Currentt to Last,0.0158933,0.0192116,0.00352075
68,Currentt to Last,0.0170842,0.0191798,0.00350389
69,Currentt to Last,0.0244929,0.0192579,0.00353634
70,Currentt to Last,0.0172858,0.0192294,0.00351852
71,Currentt to Last,0.0165738,0.0191914,0.00350748
72,Currentt to Last,0.0184062,0.0191804,0.00348393
73,Currentt to Last,0.0230875,0.0192346,0.00348973
74,Currentt to Last,0.0173941,0.0192094,0.00347235
75,Currentt to Last,0.016122,0.0191677,0.00346718
76,Currentt to Last,0.0168345,0.0191366,0.00345437
77,Currentt to Last,0.0161797,0.0190977,0.00344807
78,Currentt to Last,0.0210184,0.0191226,0.0034325
79,Currentt to Last,0.0167324,0.019092,0.00342101
80,Currentt to Last,0.0173025,0.0190693,0.00340517
81,Currentt to Last,0.0161749,0.0190332,0.00339907
82,Currentt to Last,0.021612,0.019065,0.00339
83,Currentt to Last,0.0160523,0.0190283,0.00338546
84,Currentt to Last,0.0156153,0.0189871,0.00338554
85,Currentt to Last,0.0164085,0.0189564,0.00337693
86,Currentt to Last,0.0213642,0.0189848,0.00336703
87,Currentt to Last,0.0165285,0.0189562,0.00335773
88,Currentt to Last,0.0160194,0.0189224,0.00335303
89,Currentt to Last,0.0198142,0.0189326,0.00333526
90,Currentt to Last,0.0153486,0.0188923,0.00333792
91,Currentt to Last,0.0157738,0.0188577,0.00333538
92,Currentt to Last,0.0154362,0.0188201,0.00333612
93,Currentt to Last,0.0221504,0.0188563,0.00333586
94,Currentt to Last,0.0132685,0.0187962,0.00336756
95,Currentt to Last,0.0215242,0.0188252,0.00336127
96,Currentt to Last,0.0151518,0.0187865,0.00336448
97,Currentt to Last,0.0117111,0.0187128,0.00342314
98,Currentt to Last,0.015159,0.0186762,0.00342432
99,Currentt to Last,0.0206764,0.0186966,0.00341273
100,Currentt to Last,0.0215715,0.0187256,0.00340759
101,Currentt to Last,0.0175532,0.0187139,0.00339252
102,Currentt to Last,0.0148863,0.018676,0.00339689
103,Currentt to Last,0.0151223,0.0186412,0.00339828
104,Currentt to Last,0.0146751,0.0186027,0.00340403
105,Currentt to Last,0.0199486,0.0186156,0.00339017
106,Currentt to Last,0.0147769,0.0185791,0.00339453
107,Currentt to Last,0.0169672,0.0185638,0.00338207
108,Currentt to Last,0.0180885,0.0185594,0.00336654
109,Currentt to Last,0.014651,0.0185232,0.00337176
110,Currentt to Last,0.021133,0.0185472,0.00336547
111,Currentt to Last,0.0426975,0.0187667,0.00405924
112,Currentt to Last,0.033442,0.0188989,0.0042722
113,Currentt to Last,0.0308611,0.0190057,0.00439943
114,Currentt to Last,0.026093,0.0190684,0.00442993
115,Currentt to Last,0.0449872,0.0192958,0.00502924
116,Currentt to Last,0.0257924,0.0193523,0.00504352
117,Currentt to Last,0.0251873,0.0194026,0.00505062
118,Currentt to Last,0.0194367,0.0194029,0.00502899
119,Currentt to Last,0.0307304,0.0194989,0.00511416
120,Currentt to Last,0.0216781,0.0195172,0.00509651
121,Currentt to Last,0.0147214,0.0194772,0.00509392
122,Currentt to Last,0.0140686,0.0194325,0.00509641
123,Currentt to Last,0.0194152,0.0194324,0.00507548
124,Currentt to Last,0.0139311,0.0193877,0.00507888
125,Currentt to Last,0.017394,0.0193716,0.00506151
126,Currentt to Last,0.0138154,0.0193271,0.00506546
127,Currentt to Last,0.0131397,0.019278,0.0050751
128,Currentt to Last,0.0129029,0.0192278,0.00508639
129,Currentt to Last,0.0162497,0.0192046,0.00507326
