Frame,Algorithm,Distance,Mean,StdDev
130,Currentt to Last,0.0135633,0.0191608,0.00507772
131,Currentt to Last,0.0126764,0.019111,0.00508978
132,Currentt to Last,0.0171402,0.0190959,0.00507322
133,Currentt to Last,0.0171036,0.0190808,0.00505692
134,Currentt to Last,0.012342,0.0190301,0.00507139
135,Currentt to Last,0.012693,0.0189829,0.00508178
136,Currentt to Last,0.0126532,0.018936,0.00509194
137,Currentt to Last,0.0157471,0.0189125,0.00508049
138,Currentt to Last,0.012145,0.0188631,0.00509459
139,Currentt to Last,0.0125531,0.0188174,0.00510423
140,Currentt to Last,0.0118123,0.018767,0.00512018
141,Currentt to Last,0.0120267,0.0187189,0.00513334
142,Currentt to Last,0.0141437,0.0186864,0.00512949
143,Currentt to Last,0.0117842,0.0186378,0.00514388
144,Currentt to Last,0.014172,0.0186066,0.00513936
145,Currentt to Last,0.0115356,0.0185575,0.00515503
146,Currentt to Last,0.0118911,0.0185115,0.00516677
147,Currentt to Last,0.0111629,0.0184612,0.00518459
148,Currentt to Last,0.0114454,0.0184134,0.00519901
149,Currentt to Last,0.0125082,0.0183735,0.00520395
150,Currentt to Last,0.0113373,0.0183263,0.00521818
151,Currentt to Last,0.0113875,0.0182801,0.00523132
152,Currentt to Last,0.0135924,0.018249,0.00522781
153,Currentt to Last,0.0104359,0.0181976,0.00524873
154,Currentt to Last,0.0110079,0.0181506,0.00526353
155,Currentt to Last,0.0123746,0.0181131,0.00526689
156,Currentt to Last,0.0128921,0.0180794,0.00526648
157,Currentt to Last,0.017519,0.0180758,0.00524977
158,Currentt to Last,0.0111518,0.0180317,0.00526193
159,Currentt to Last,0.0127246,0.0179981,0.00526211
160,Currentt to Last,0.0124128,0.017963,0.00526409
161,Currentt to Last,0.0108412,0.0179185,0.00527754
162,Currentt to Last,0.0104884,0.0178724,0.00529341
163,Currentt to Last,0.0108309,0.0178289,0.00530579
164,Currentt to Last,0.0137851,0.0178041,0.00529891
165,Currentt to Last,0.0104058,0.017759,0.00531403
166,Currentt to Last,0.010347,0.017714,0.00532905
167,Currentt to Last,0.010587,0.0176711,0.00534152
168,Currentt to Last,0.0121712,0.0176382,0.00534238
169,Currentt to Last,0.0125169,0.0176077,0.005341
170,Currentt to Last,0.0102504,0.0175642,0.00535499
171,Currentt to Last,0.013373,0.0175395,0.00534883
172,Currentt to Last,0.0110712,0.0175017,0.00535592
173,Currentt to Last,0.0115018,0.0174668,0.00535977
174,Currentt to Last,0.0110265,0.0174296,0.00536652
175,Currentt to Last,0.0136671,0.0174079,0.00535863
176,Currentt to Last,0.0111932,0.0173724,0.00536379
177,Currentt to Last,0.0113947,0.0173385,0.00536737
178,Currentt to Last,0.0103341,0.0172989,0.00537787
179,Currentt to Last,0.0108378,0.0172626,0.00538444
180,Currentt to Last,0.0118614,0.0172324,0.00538445
181,Currentt to Last,0.00968614,0.0171905,0.00539869
182,Currentt to Last,0.0262279,0.0172404,0.00542527
183,Currentt to Last,0.0121245,0.0172123,0.00542355
184,Currentt to Last,0.0106208,0.0171763,0.00543049
185,Currentt to Last,0.0124338,0.0171505,0.00542693
186,Currentt to Last,0.0117498,0.0171213,0.00542671
187,Currentt to Last,0.0152152,0.0171111,0.0054139
188,Currentt to Last,0.0108407,0.0170776,0.00541873
189,Currentt to Last,0.0117237,0.0170491,0.00541832
190,Currentt to Last,0.0130577,0.017028,0.00541171
191,Currentt to Last,0.0139835,0.0170119,0.00540195
192,Currentt to Last,0.0114156,0.0169826,0.0054029
193,Currentt to Last,0.0128158,0.0169609,0.00539715
194,Currentt to Last,0.0154546,0.0169531,0.00538424
195,Currentt to Last,0.0149949,0.016943,0.00537218
196,Currentt to Last,0.0130935,0.0169233,0.00536543
197,Currentt to Last,0.015766,0.0169174,0.00535236
198,Currentt to Last,0.0124968,0.0168949,0.005348
199,Currentt to Last,0.0134142,0.0168774,0.00534018
200,Currentt to Last,0.012372,0.0168547,0.00533626
201,Currentt to Last,0.0145285,0.0168431,0.00532543
202,Currentt to Last,0.012699,0.0168225,0.00532017
203,Currentt to Last,0.0170661,0.0168237,0.00530701
204,Currentt to Last,0.0185035,0.016832,0.00529523
205,Currentt to Last,0.0139512,0.0168178,0.00528606
206,Currentt to Last,0.0145898,0.016807,0.00527544
207,Currentt to Last,0.0151294,0.0167988,0.00526391
208,Currentt to Last,0.0128177,0.0167796,0.00525843
209,Currentt to Last,0.0135162,0.0167639,0.00525063
210,Currentt to Last,0.0210512,0.0167844,0.0052464
211,Currentt to Last,0.0222053,0.0168102,0.00524718
212,Currentt to Last,0.0166492,0.0168095,0.00523474
213,Currentt to Last,0.0192733,0.0168211,0.00522511
214,Currentt to Last,0.0127514,0.016802,0.00522025
215,Currentt to Last,1.09055,0.0218195,0.0734129
216,Currentt to Last,0.0958016,0.0221636,0.0734147
217,Currentt to Last,0.0272949,0.0221873,0.0732454
218,Currentt to Last,0.423211,0.0240354,0.0779606
219,Currentt to Last,0.168147,0.0246964,0.0783888
220,Currentt to Last,0.0354448,0.0247455,0.078213
221,Currentt to Last,0.0421082,0.0248244,0.0780438
222,Currentt to Last,0.225576,0.0257328,0.0790241
223,Currentt to Last,0.11963,0.0261558,0.0790962
